200	10	-	10	-	10	-	10	-	10	-	10	-	10	-	23	0	-	6,9	-	0,6	0,5
400	18	-	18	-	18	-	18	-	18	-	18	-	18	-	22	0	-	7	-	1,2	1,1
600	27	-	27	-	27	-	27	-	27	-	27	-	27	-	22	1	-	7,1	-	1,9	1,6
800	36	10	36	10	36	10	36	10	36	10	36	10	36	10	21	1	4	7,2	0,4	2,5	2,2
1000	46	12	46	12	46	12	46	12	45	12	45	12	45	12	21	1	5,1	7,3	0,7	3,1	2,8
1200	55	15	55	15	55	15	55	15	55	15	55	14	55	14	21	1	6,2	7,5	1	3,7	3,4
1400	65	17	65	17	65	17	65	17	64	17	64	16	64	16	20	1	7,4	7,8	1,4	4,4	4
1600	75	20	74	20	74	19	74	19	74	18	74	18	74	18	20	1	8,6	8,1	1,8	5,1	4,7
1800	85	22	84	22	84	21	84	21	84	20	84	20	84	20	20	2	9,8	8,5	2,2	5,8	5,3
2000	95	25	95	24	95	23	94	23	94	22	94	22	94	21	20	2	11	9	2,6	6,5	6
2200	105	27	105	26	105	25	105	25	104	24	104	24	104	23	20	2	12	9,7	3	7,1	6,7
2400	116	29	115	28	115	28	115	27	115	26	114	26	114	25	19	2	13	10	3,4	7,8	7,5
2600	126	31	126	30	126	30	126	29	125	28	125	27	125	27	19	2	14	11	3,8	8,5	8,2
2800	137	33	137	32	137	32	136	31	136	30	136	29	135	28	19	2	15	13	4,2	9,2	9
3000	148	36	148	35	148	34	147	33	147	32	147	31	146	30	18	3	17	14	4,7	10	9,7
3200	160	38	159	37	159	36	158	35	158	34	158	33	157	32	17	3	18	15	5,2	11	10
3400	171	40	170	39	170	38	170	37	169	36	169	35	168	34	17	3	19	17	5,7	11	11
3600	183	42	182	41	182	40	181	39	180	38	180	37	179	36	17	4	20	18	6,2	12	12
3800	195	44	194	43	194	42	193	41	192	40	192	39	191	38	17	4	21	20	6,7	13	13
4000	207	46	206	45	206	44	205	43	204	42	203	40	202	39	16	4	23	21	7,3	14	14
4200	220	49	219	48	218	46	217	45	216	44	215	42	214	41	16	4	24	23	7,8	14	15
4400	233	51	231	50	230	48	229	47	228	46	227	44	227	43	16	5	25	24	8,4	15	16
4600	246	54	244	52	243	51	242	49	241	48	240	46	239	45	16	5	26	26	9	16	17
4800	259	56	257	54	256	53	255	51	254	50	253	48	251	47	15	5	28	27	9,6	17	17
5000	273	58	271	57	269	55	268	53	267	52	265	50	264	49	15	5	30	29	10	18	18
5200	287	61	285	59	283	57	281	55	280	54	279	52	278	51	15	6	31	30	11	19	19
5400	302	64	300	62	297	60	295	58	294	56	293	54	291	52	14	6	33	32	11	20	20
5600	317	66	315	64	312	62	310	60	308	58	307	56	305	54	14	6	35	34	12	20	21
5800	333	68	330	66	328	64	325	62	323	60	321	58	319	56	13	7	37	36	13	21	23
6000	349	71	346	69	344	66	341	64	339	62	336	60	334	58	12	7	39	38	14	22	24
6200	366	74	363	71	366	69	357	67	355	64	352	62	349	60	12	8	40	39	15	23	25
6400	384	76	380	74	377	71	374	69	371	67	368	64	365	62	11	8	42	41	16	24	26
6600	402	79	399	76	395	74	391	71	388	69	385	67	382	64	11	8	44	43	17	25	27
6800	422	82	418	79	414	76	409	74	406	71	402	69	399	66	10	9	46	45	18	26	29
7000	443	84	438	82	433	79	429	76	425	74	420	71	416	68	9,7	9	48	47	19	27	30
7200	466	87	460	84	454	81	449	79	444	76	439	73	435	71	9,1	10	50	50	20	29	31
7400	490	90	484	87	477	84	471	81	465	78	460	76	455	73	8,5	10	52	53	22	30	33
7600	517	94	509	90	502	87	495	84	488	81	482	78	476	75	7,8	11	54	56	24	31	35
7800	549	97	538	94	529	90	521	87	513	84	506	81	499	77	6,9	12	56	59	25	32	36
8000	586	101	572	98	560	94	550	90	541	87	532	84	524	80	5,8	13	59	63	27	34	38
8200	637	107	615	103	599	98	584	94	573	90	562	87	533	83	4,4	14	63	66	30	36	41
8340	750	117	672	107	635	102	612	97	594	93	580	89	567	85	4,3	14	65	68	32	38	44
8400	-	-	690	109	653	103	630	98	612	94	598	90	585	86	4,3	16	66	70	32	38	44
8430	-	-	750	114	676	105	649	100	621	95	606	91	591	87	3,2	16	69	70	33	40	44
8510	-	-	-	-	750	111	700	104	646	97	625	92	609	88	3,2	18	33	71	34	42	45
8590	-	-	-	-	-	-	750	108	671	99	645	94	626	90	1,6	20	77	72	35	44	51
