L	0	11600	200	11600	200	12200	12200	12200	12200
1	0	9400	200	9400	200	11600	11200	11600	11200
2	0	8000	200	8000	200	9400	10000	9400	10000
3	0	7000	200	7000	200	8000	8800	8000	8800
4	0	6000	200	6000	200	7000	7400	7000	7400
5	0	4000	200	4000	200	6000	6400	6000	6400
6	0	200	200	200	200	4000	5600	4000	5600
L	500	11600	200	11600	200	12600	12600	12600	12600
1	500	9400	200	9400	200	11600	11200	11600	11200
2	500	8000	200	8000	200	9400	10200	9400	10200
3	500	7000	200	7000	200	8000	8800	8000	8800
4	500	6000	200	6000	200	7000	7400	7000	7400
5	500	4000	200	4000	200	6000	6400	6000	6400
6	500	200	200	200	200	4000	5600	4000	5600
L	1000	11600	200	11600	200	12800	12800	12800	12800
1	1000	9400	200	9400	200	11600	11200	11600	11200
2	1000	8000	200	8000	200	9400	10200	9400	10200
3	1000	7000	200	7000	200	8000	8800	8000	8800
4	1000	6000	200	6000	200	7000	7400	7000	7400
5	1000	4000	200	4000	200	6000	6600	6000	6600
6	1000	200	200	200	200	4000	5600	4000	5600
L	1500	11600	200	11600	200	12800	12800	12800	12800
1	1500	9400	200	9400	200	11600	11200	11600	11200
2	1500	8000	200	8000	200	9400	10400	9400	10400
3	1500	7000	200	7000	200	8000	8800	8000	8800
4	1500	6000	200	6000	200	7000	7600	7000	7600
5	1500	4000	200	4000	200	6000	6600	6000	6600
6	1500	200	200	200	200	4000	5600	4000	5600
L	2000	11600	200	11600	200	12800	12800	12800	12800
1	2000	9400	200	9400	200	11600	11200	11600	11200
2	2000	8000	200	8000	200	9400	10400	9400	10400
3	2000	7000	200	7000	200	8000	8800	8000	8800
4	2000	6000	200	6000	200	7000	7600	7000	7600
5	2000	4000	200	4000	200	6000	6600	6000	6600
6	2000	200	200	200	200	4000	5600	4000	5600
L	2500	11600	200	11600	200	12800	12800	12800	12800
1	2500	9400	200	9400	200	11600	11200	11600	11200
2	2500	8000	200	8000	200	9400	10400	9400	10400
3	2500	7000	200	7000	200	8000	8800	8000	8800
4	2500	6000	200	6000	200	7000	7600	7000	7600
5	2500	4000	200	4000	200	6000	6600	6000	6600
6	2500	200	200	200	200	4000	5600	4000	5600
