L	0	11000	7000	11000	7000	15290	15290	15290	15290
Q	0	9000	5200	9000	5200	11000	12400	11000	12400
1	0	8000	4400	8000	4400	9000	10800	9000	10800
2	0	6000	4000	6000	4000	8000	9200	8000	9200
3	0	2600	2600	2600	2600	6000	7200	6000	7200
L	500	11000	7000	11000	7000	15290	15290	15290	15290
Q	500	9000	5200	9000	5200	11000	12400	11000	12400
1	500	8000	4400	8000	4400	9000	10800	9000	10800
2	500	6000	4000	6000	4000	8000	9200	8000	9200
3	500	2600	2600	2600	2600	6000	7200	6000	7200
L	1000	11000	7000	11000	7000	15290	15290	15290	15290
Q	1000	9000	5200	9000	5200	11000	12400	11000	12400
1	1000	8000	4400	8000	4400	9000	10800	9000	10800
2	1000	6000	4000	6000	4000	8000	9200	8000	9200
3	1000	2600	2600	2600	2600	6000	7200	6000	7200
L	1500	11000	7000	11000	7000	15290	15290	15290	15290
Q	1500	9000	5200	9000	5200	11000	12400	11000	12400
1	1500	8000	4400	8000	4400	9000	10800	9000	10800
2	1500	6000	4000	6000	4000	8000	9200	8000	9200
3	1500	2600	2600	2600	2600	6000	7200	6000	7200
L	2000	11000	7000	11000	7000	15290	15290	15290	15290
Q	2000	9000	5200	9000	5200	11000	12400	11000	12400
1	2000	8000	4400	8000	4400	9000	10800	9000	10800
2	2000	6000	4000	6000	4000	8000	9200	8000	9200
3	2000	2600	2600	2600	2600	6000	7200	6000	7200
L	2500	11000	7000	11000	7000	15290	15290	15290	15290
Q	2500	9000	5200	9000	5200	11000	12400	11000	12400
1	2500	8000	4400	8000	4400	9000	10800	9000	10800
2	2500	6000	4000	6000	4000	8000	9200	8000	9200
3	2500	2600	2600	2600	2600	6000	7200	6000	7200
