41	1400	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
48	1600	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
56	1800	27	53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
63	2000	24	47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
71	2200	21	43	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
79	2400	19	39	58	76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
87	2600	18	36	54	72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
95	2800	17	34	51	68	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
104	3000	16	32	48	64	79	94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
113	3200	15	30	45	60	75	89	103	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
131	3600	13	27	40	54	67	79	90	102	115	128	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
150	4000	12	24	36	48	59	70	81	93	105	117	128	139	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
169	4400	11	22	33	44	54	65	75	85	96	107	117	127	137	147	156	165	-	-	-	-	-	-	-	-	-	-	-	-	-	-
190	4800	10	20	30	40	50	60	69	79	89	99	108	117	127	136	145	154	163	172	181	-	-	-	-	-	-	-	-	-	-	-
211	5200	9	19	28	37	46	55	64	73	82	91	100	109	118	127	136	144	153	162	170	179	188	197	206	-	-	-	-	-	-	-
233	5600	9	17	26	34	43	51	59	66	77	86	94	102	110	119	127	135	144	152	160	168	176	184	192	200	208	215	222	230	-	-
256	6000	8	15	23	31	39	47	54	63	71	80	88	96	104	112	119	127	135	143	151	158	165	172	179	187	195	202	209	217	225	232
280	6400	7	14	22	29	37	44	51	59	67	75	83	91	98	105	112	120	127	135	142	149	156	163	170	178	186	193	199	206	213	220
305	6800	7	14	21	28	35	41	49	56	64	71	79	86	93	100	106	113	120	127	134	141	148	155	162	170	177	183	189	196	203	209
331	7200	6	13	20	27	34	40	47	54	61	68	75	82	89	96	102	108	114	121	127	134	141	148	155	162	169	175	181	187	193	199
358	7600	6	13	20	26	33	39	45	52	59	66	73	79	86	92	98	104	110	116	122	129	135	142	149	156	162	168	174	180	186	192
387	8000	6	13	19	25	32	38	44	50	57	64	71	77	83	89	95	101	107	113	119	125	131	138	144	150	156	162	168	174	180	186
418	8400	6	13	19	25	31	37	43	49	56	63	69	75	81	87	93	98	104	110	116	122	128	134	140	146	152	157	163	169	175	181
452	8800	6	13	19	25	31	37	43	49	56	62	67	73	79	85	91	96	102	108	114	120	126	132	138	143	148	153	159	165	171	177
489	9200	6	13	19	26	32	38	44	50	56	62	68	74	80	86	92	98	104	110	116	122	128	134	140	146	152	157	162	167	172	177
533	9600	6	13	20	27	33	40	47	53	59	65	71	77	83	89	95	101	107	113	119	126	133	140	147	154	160	165	169	173	177	181
588	10000	7	15	22	30	37	44	51	58	65	72	78	85	91	97	104	110	117	123	129	136	144	151	158	165	171	176	180	184	188	192
680	10400	11	21	31	41	50	58	66	74	82	90	98	106	113	121	128	134	141	148	154	161	167	173	179	185	191	197	203	209	215	221
750	10530	29	53	74	91	105	117	128	138	147	155	163	172	180	188	196	203	211	218	225	233	240	247	253	259	265	272	278	284	290	296
