750	6510	31	56	73	87	98	108	117	125	132	138	144	149	154	159	164	169	174	179	183	187	191	194	197	201	205	208	211	214	217	220
827	6400	11	22	32	42	51	59	66	72	78	83	88	93	98	103	107	111	115	119	123	126	129	132	135	139	143	146	149	152	154	156
890	6200	7	14	21	27	33	38	43	48	53	57	61	65	69	73	76	80	83	86	89	92	95	98	101	104	107	109	111	113	115	117
934	6000	5	10	15	20	25	29	33	37	41	44	48	51	54	57	60	63	66	69	72	75	78	81	84	87	90	92	94	96	97	99
970	5800	4	8	12	16	20	24	27	30	33	36	39	42	45	48	50	53	55	58	61	64	66	68	70	72	74	76	78	80	81	83
1001	5600	4	7	10	14	17	20	23	26	29	31	34	36	39	41	43	46	48	50	53	55	57	59	61	63	64	66	68	70	71	73
1030	5400	3	6	9	12	15	18	20	23	25	27	30	32	34	36	38	40	42	44	46	48	50	52	54	56	57	59	61	63	64	65
1056	5200	3	5	8	10	13	16	18	20	22	24	26	28	30	32	34	36	38	39	40	42	44	46	48	50	51	53	54	56	57	58
1080	5000	3	5	7	9	12	14	16	18	20	21	23	25	27	28	30	32	34	35	36	37	39	41	43	45	46	47	48	50	51	52
1103	4800	2	4	6	8	10	12	14	16	18	19	21	22	24	25	27	29	31	32	33	34	35	37	39	40	41	42	43	45	46	47
1124	4600	2	4	6	7	9	11	12	14	16	17	19	20	22	23	25	27	29	30	31	32	33	35	36	37	38	39	40	41	42	43
1145	4400	2	4	6	7	8	10	11	13	15	16	18	19	20	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1165	4200	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
