19	1000	49	97	144	190	235	279	322	364	405	444	481	517	551	584	615	645	673	701	728	-	-	-	-	-	-	-	-	-	-	-
23	1200	40	80	119	158	197	235	272	308	343	376	412	444	475	505	533	560	587	613	639	664	687	709	-	-	-	-	-	-	-	-
27	1400	34	69	103	136	169	202	234	266	298	329	359	388	416	443	470	496	521	546	570	593	616	637	657	677	697	716	-	-	-	-
31	1600	30	60	90	119	148	177	205	234	262	290	317	344	370	395	420	444	467	490	513	535	556	577	597	617	636	654	671	688	705	-
35	1800	27	54	80	106	133	159	183	208	234	259	283	308	332	356	379	401	423	444	465	486	506	525	544	563	582	600	617	634	650	666
40	2000	24	48	72	96	120	143	166	189	212	235	257	279	301	323	344	365	385	406	426	445	464	482	500	518	536	553	570	586	602	618
44	2200	22	44	65	87	108	129	151	172	193	214	235	255	275	295	314	334	353	372	391	410	428	445	462	479	496	512	528	544	560	575
49	2400	20	40	60	80	99	119	139	158	178	197	216	235	253	272	290	308	326	344	362	380	397	413	429	445	461	476	492	507	522	537
54	2600	19	37	56	74	92	110	128	147	165	183	200	218	235	252	269	286	303	320	337	354	370	385	400	415	430	445	460	474	489	503
58	2800	18	35	52	69	86	103	120	137	153	170	186	203	219	235	251	267	283	299	315	331	346	360	375	389	403	417	431	445	459	472
63	3000	16	32	48	64	80	96	112	128	143	159	174	190	206	221	237	252	267	281	295	310	324	338	352	366	380	393	406	419	432	445
68	3200	15	30	45	60	75	90	105	120	135	150	164	179	194	209	224	238	252	265	278	291	305	319	333	347	360	373	385	397	409	421
79	3600	14	27	41	54	67	81	94	107	120	133	146	160	173	186	199	212	225	237	249	261	274	287	299	311	323	335	347	359	370	381
89	4000	13	25	37	49	61	73	85	97	109	121	133	145	157	168	180	192	204	215	226	237	249	260	272	283	294	305	316	327	338	348
101	4400	12	23	34	45	56	67	78	89	100	111	122	133	144	154	165	176	186	196	207	217	228	239	250	260	271	281	291	301	310	320
113	4800	11	21	31	41	52	62	72	82	92	102	112	122	132	142	152	162	171	181	191	201	211	221	231	241	251	260	269	278	287	296
125	5200	10	19	29	38	48	57	66	76	85	94	103	113	122	132	141	150	159	168	178	187	197	206	215	224	233	242	250	259	268	276
139	5600	9	18	27	36	45	53	61	70	79	87	96	105	114	123	131	140	149	157	166	175	184	192	201	209	218	226	234	242	251	259
153	6000	8	17	25	33	42	50	58	66	74	82	90	98	107	115	123	131	140	148	156	164	172	180	188	196	204	211	219	227	236	244
167	6400	8	16	24	31	39	47	55	70	70	78	85	93	101	108	116	124	132	139	147	154	162	169	176	184	191	199	207	215	223	231
183	6800	7	15	23	30	37	44	52	66	66	74	81	89	96	103	110	118	125	132	139	146	153	160	167	174	181	189	196	204	212	219
200	7200	7	14	21	28	35	42	49	63	63	70	77	84	91	98	105	112	119	126	133	139	146	153	160	167	173	180	187	194	202	209
217	7600	7	14	20	27	34	40	47	61	61	67	74	80	87	94	100	107	113	120	127	133	140	147	153	160	166	173	180	187	194	200
234	8000	6	13	19	26	33	39	45	59	59	65	71	77	83	90	96	102	108	115	122	128	134	141	147	153	160	166	173	180	186	192
253	8400	6	12	18	24	31	37	43	56	56	62	68	74	80	86	92	98	104	110	117	123	129	135	141	147	154	160	166	173	179	185
273	8800	6	12	18	24	30	35	41	53	53	59	65	71	77	83	89	94	100	106	112	118	124	130	136	142	148	154	160	166	172	179
293	9200	6	12	17	23	29	34	40	51	51	57	62	68	74	80	86	91	97	103	108	114	120	126	131	137	143	149	154	160	166	173
314	9600	6	12	17	22	28	33	39	49	49	55	60	66	72	77	83	89	94	100	105	111	116	122	127	133	139	145	150	155	161	167
337	10000	6	12	17	22	27	32	38	48	48	53	59	64	70	75	81	87	92	97	102	108	113	119	124	130	136	141	146	151	157	162
361	10400	6	12	17	22	27	32	37	47	47	52	58	63	69	74	80	85	90	95	100	106	111	117	122	128	134	139	144	149	154	159
385	10800	6	12	17	22	27	32	37	47	47	52	57	62	68	73	79	84	89	94	99	105	110	116	121	127	132	137	142	147	152	157
411	11200	6	11	17	22	27	32	37	47	47	52	57	62	67	72	78	83	88	93	99	104	109	115	120	126	131	136	141	146	151	156
433	11600	5	11	16	21	27	32	37	47	47	52	57	62	67	72	77	82	88	93	99	104	109	115	102	126	131	136	142	147	152	158
467	12000	5	10	15	20	26	31	36	46	46	51	56	61	66	72	77	82	88	93	99	104	109	115	120	126	131	137	143	149	155	161
499	12400	5	10	15	20	26	31	36	46	46	51	56	61	66	72	78	83	89	95	101	107	113	119	125	131	137	143	149	156	163	170
534	12800	6	11	16	21	27	32	37	48	48	54	59	65	71	77	83	89	95	101	108	115	122	129	136	143	151	159	168	177	186	196
574	13200	6	12	18	23	29	34	40	53	53	60	67	74	81	88	95	103	111	120	129	138	148	158	169	-	-	-	-	-	-	-
622	13600	7	14	21	28	35	42	50	67	67	77	88	100	112	125	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
695	14000	12	25	39	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
