27	1000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
33	1200	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
39	1400	33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
45	1600	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
52	1800	27	53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
58	2000	24	48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
65	2200	22	44	65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
71	2400	20	40	60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
78	2600	18	37	55	73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
85	2800	17	34	51	68	85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
92	3000	16	32	48	64	80	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
100	3200	15	30	45	60	75	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
115	3600	14	28	41	54	68	81	94	107	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
131	4000	12	25	37	49	61	74	86	98	110	122	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
148	4400	11	22	34	45	56	67	78	90	101	112	123	134	144	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
166	4800	10	20	31	41	52	62	72	83	93	103	113	123	133	143	153	163	-	-	-	-	-	-	-	-	-	-	-	-	-	-
185	5200	10	19	29	38	48	58	68	77	87	96	105	115	124	133	142	152	161	170	179	-	-	-	-	-	-	-	-	-	-	-
204	5600	9	18	27	36	45	53	62	71	80	89	98	107	116	125	133	142	151	160	168	176	185	194	202	-	-	-	-	-	-	-
224	6000	8	17	25	34	42	50	58	67	75	84	92	100	109	117	126	134	142	150	158	166	174	182	190	198	206	214	222	-	-	-
244	6400	8	16	24	32	40	48	55	63	71	79	87	95	103	111	119	127	135	142	150	158	165	172	180	187	194	202	210	217	224	232
266	6800	8	15	23	30	38	46	53	60	68	75	83	91	98	106	113	121	128	135	143	150	157	164	171	178	185	193	200	207	214	221
289	7200	8	15	22	29	36	44	51	58	65	72	80	87	94	101	108	115	122	129	136	143	150	157	164	171	177	184	191	198	205	211
312	7600	7	14	21	28	35	42	49	56	62	69	76	83	90	97	103	110	117	124	130	137	144	151	158	164	170	176	183	190	197	203
337	8000	7	14	21	27	34	41	47	54	60	67	73	80	87	93	99	106	112	119	125	132	139	146	152	158	164	170	177	184	190	196
364	8400	7	13	20	26	33	40	46	52	59	65	71	78	84	90	96	102	109	115	122	128	135	141	147	153	159	165	172	178	184	190
391	8800	7	13	20	26	33	39	46	52	58	64	70	76	82	88	94	100	107	113	119	125	131	137	143	149	155	161	167	173	179	185
420	9200	6	13	19	26	32	39	45	51	57	63	69	75	81	87	93	99	105	111	117	123	128	134	140	146	152	158	164	170	176	181
453	9600	6	13	19	26	32	38	44	50	56	62	68	74	80	86	92	98	104	110	116	121	126	132	138	144	150	156	162	168	174	179
487	10000	7	13	19	25	31	37	43	49	55	61	67	73	79	85	91	97	103	109	115	121	127	133	139	145	151	157	163	169	175	180
527	10400	7	13	20	26	33	39	45	51	57	63	69	75	81	87	93	99	105	111	117	123	129	135	141	147	153	159	165	171	177	182
572	10800	8	15	22	29	36	43	49	55	61	67	73	79	85	91	97	103	109	115	121	127	133	139	145	151	157	163	169	175	181	186
631	11200	9	17	25	33	41	48	55	62	69	76	83	90	97	104	110	117	123	130	136	143	149	156	162	168	174	181	187	193	199	205
750	11570	21	40	58	74	88	100	111	121	130	139	147	155	163	171	179	186	193	200	207	213	220	227	234	241	247	253	259	265	271	277
