11	1000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
14	1200	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
16	1400	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
19	1600	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
21	1800	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
24	2000	23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
26	2200	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
29	2400	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
32	2600	19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
35	2800	17	35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
37	3000	16	32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
40	3200	15	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
46	3600	13	27	40		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
52	4000	12	24	36	48		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
59	4400	10	21	32	43	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
66	4800	9	19	29	39	49	59	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
73	5200	9	18	27	36	45	55	64	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
80	5600	8	17	25	43	42	51	60	68	77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
88	6000	8	16	24	32	40	48	56	64	72	80	88	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
96	6400	7	15	23	30	38	45	53	60	68	75	83	90	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
104	6800	7	14	21	28	35	42	50	57	64	71	78	85	92	99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
113	7200	6	13	20	27	33	40	47	54	60	67	74	80	87	94	101	107	-	-	-	-	-	-	-	-	-	-	-	-	-	-
123	7600	6	12	19	25	32	38	44	51	57	63	70	76	82	89	95	101	107	114	121	-	-	-	-	-	-	-	-	-	-	-
132	8000	6	12	18	24	30	36	42	48	54	60	66	72	78	85	91	97	103	109	115	122	128	-	-	-	-	-	-	-	-	-
143	8400	5	11	17	23	29	34	40	46	52	58	63	69	75	81	87	93	99	105	110	116	122	128	133	138	-	-	-	-	-	-
153	8800	5	10	16	21	27	32	38	44	50	56	61	66	72	77	83	89	94	100	105	111	117	122	127	132	138	144	150	-	-	-
165	9200	5	10	15	20	26	31	36	42	48	54	59	64	69	74	80	85	90	96	101	107	112	117	122	127	133	139	144	149	154	159
177	9600	5	10	15	20	25	30	35	40	46	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	128	133	138	143	148	153
189	10000	5	10	15	20	25	30	34	39	44	49	54	59	64	69	74	78	83	88	93	98	103	108	113	118	123	127	132	137	142	147
202	10400	4	9	14	19	24	29	33	38	43	47	52	57	62	66	71	75	80	84	89	94	98	103	108	113	118	122	127	132	137	142
216	10800	4	9	14	18	23	28	32	37	41	46	51	55	60	64	69	73	77	81	86	90	94	99	104	109	114	118	123	128	133	138
231	11200	4	8	13	17	22	27	31	35	39	44	49	53	58	62	67	71	75	79	83	87	91	96	101	105	110	114	119	124	129	134
