6	1000	48	96	143	189	234	278	321	363	404	443	481	517	551	584	615	644	672	699	725	-	-	-	-	-	-	-	-	-	-	-
8	1200	40	80	119	158	197	235	272	307	343	378	412	444	475	505	534	562	589	615	640	664	687	709	730	-	-	-	-	-	-	-
10	1400	34	68	102	136	169	202	235	267	298	328	358	387	416	444	471	497	522	546	570	593	615	636	656	676	695	714	733	-	-	-
13	1600	30	60	90	120	150	179	207	235	263	290	317	343	369	395	420	444	468	491	513	534	554	574	594	613	632	651	669	686	703	719
15	1800	27	54	80	106	132	158	184	210	235	259	283	307	331	355	378	401	423	444	465	485	505	524	543	562	580	597	614	631	647	662
18	2000	24	49	73	96	120	143	167	190	212	234	256	278	300	322	344	365	385	405	425	444	463	482	500	518	535	552	568	584	600	615
20	2200	22	44	66	88	109	131	152	173	193	214	235	255	275	295	315	334	353	372	391	409	427	444	462	479	495	511	527	543	558	573
23	2400	20	40	60	80	100	120	139	158	177	197	216	235	254	273	291	309	326	343	361	378	395	412	429	445	460	475	491	506	520	534
26	2600	19	37	55	73	92	110	128	146	164	182	200	218	235	252	270	287	303	319	335	351	367	383	399	415	430	444	459	473	487	500
29	2800	17	34	51	68	85	102	119	136	153	170	187	203	219	235	251	267	282	298	313	328	343	358	373	388	402	416	430	444	457	471
32	3000	16	32	48	64	79	95	111	127	143	159	174	189	204	219	234	249	264	279	294	308	322	336	350	364	377	391	404	418	431	444
35	3200	15	30	45	60	74	89	104	119	134	149	163	177	191	205	219	234	248	262	276	290	303	316	329	342	355	368	381	394	407	420
42	3600	14	27	40	53	66	79	93	106	119	132	145	158	171	184	196	209	222	235	247	259	271	283	295	307	319	331	343	355	367	378
48	4000	12	24	36	48	60	72	84	96	108	120	132	143	155	166	177	189	201	213	224	235	246	257	268	279	290	301	312	323	333	343
55	4400	11	22	33	44	55	66	77	88	99	110	121	131	141	151	161	172	183	194	205	215	225	235	245	255	265	275	285	295	304	313
63	4800	10	20	30	40	50	61	71	81	91	101	111	121	130	139	148	158	168	178	188	198	208	217	226	235	244	253	262	271	280	288
71	5200	10	19	28	37	46	56	66	75	84	93	102	111	120	129	137	146	155	164	174	183	192	201	209	218	226	235	243	251	259	267
80	5600	9	17	26	34	43	52	61	69	78	86	95	103	112	120	128	136	145	153	162	170	178	187	195	203	211	219	227	235	243	250
89	6000	8	16	24	32	40	48	56	64	72	80	88	96	104	112	120	128	136	144	152	159	166	174	182	190	198	206	213	221	229	236
99	6400	8	16	23	31	38	45	53	60	68	75	83	90	97	105	113	121	128	135	142	149	156	164	171	179	186	194	201	208	216	223
110	6800	7	15	22	29	36	43	50	57	64	71	78	85	92	99	106	113	120	127	134	140	147	154	161	168	175	183	190	197	204	211
121	7200	7	14	20	27	34	40	47	54	60	67	74	80	87	93	100	107	113	119	126	132	139	145	152	159	165	172	179	186	193	200
134	7600	7	13	19	26	32	38	45	51	57	63	70	76	82	88	95	101	107	113	119	125	132	138	144	150	156	163	170	176	183	190
147	8000	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	95	101	107	113	119	125	131	137	143	149	155	162	168	174	180
161	8400	6	12	17	23	28	34	40	45	51	57	62	68	74	80	86	91	97	103	108	114	119	125	131	137	143	148	154	160	165	171
175	8800	6	11	16	22	27	33	38	43	49	54	59	65	71	77	82	87	93	99	104	109	114	120	125	131	137	142	148	153	158	163
191	9200	6	11	16	21	26	32	37	42	47	52	57	63	68	74	79	84	90	95	100	105	110	116	121	126	132	137	142	147	152	156
207	9600	5	10	15	20	25	30	35	40	45	50	55	61	66	71	76	81	86	91	96	101	106	112	117	122	127	132	137	142	146	150
223	10000	5	9	14	19	24	29	33	38	43	48	53	58	63	68	73	78	83	88	93	98	103	108	113	118	123	128	133	137	141	145
240	10400	5	9	14	18	23	28	32	37	41	46	50	55	60	65	70	75	79	84	89	94	99	104	109	114	119	124	128	132	136	140
258	10800	5	9	13	18	22	27	31	35	39	44	48	53	58	62	67	72	76	81	86	90	95	100	105	110	115	120	124	128	132	136
277	11200	5	9	13	17	21	26	30	34	38	42	47	51	56	60	65	69	74	78	83	87	92	96	101	106	111	116	120	124	128	132
297	11600	4	8	12	16	20	25	29	33	37	41	46	50	54	59	63	67	72	76	80	84	89	93	98	103	107	112	116	120	124	128
318	12000	4	8	12	16	20	24	28	32	36	40	45	49	53	57	61	66	70	74	78	82	87	91	96	100	104	109	113	117	121	125
339	12400	3	7	11	15	19	23	27	31	35	40	44	48	52	56	60	65	69	73	77	81	85	89	94	98	102	106	110	114	118	122
361	12800	3	7	11	15	19	23	27	31	35	39	43	47	51	55	59	64	68	72	76	80	84	88	92	96	100	104	108	112	116	120
385	13200	3	7	11	15	19	23	27	31	35	39	43	47	51	55	59	63	67	71	75	79	83	87	91	95	99	103	107	111	115	119
410	13600	3	7	11	15	19	22	26	30	34	38	42	46	50	54	58	62	66	70	74	78	82	86	90	94	99	103	107	111	115	119
436	14000	3	7	11	15	19	22	26	30	34	38	42	46	50	54	58	62	66	70	74	78	82	86	90	94	99	103	107	111	115	120
464	14400	3	7	11	15	19	23	27	31	35	39	43	47	51	55	59	63	67	71	75	79	83	87	91	95	100	104	108	112	117	122
494	14800	3	7	11	15	19	23	27	31	35	40	44	48	52	56	60	64	68	73	77	82	86	90	94	98	103	107	112	116	121	126
527	15200	4	8	12	16	20	24	28	32	36	41	45	50	54	58	63	68	72	77	81	86	90	95	100	105	110	115	120	125	130	136
564	15600	4	9	13	17	21	26	30	35	39	44	49	54	59	64	69	74	79	85	90	96	102	109	116	123	131	138	146	154	162	170
608	16000	5	10	14	19	24	30	36	42	47	53	59	66	73	81	89	98	107	117	127	138	-	-	-	-	-	-	-	-	-	-
667	16400	8	16	24	33	42	53	66	82	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
