L	0	10840	600	15200	15200	15300	15300	11800	9710
Q	0	9400	600	11800	12800	10840	12840	10400	8220
1	0	7800	400	10400	11400	9400	11400	9000	7420
2	0	6340	200	9000	10000	7800	9800	7200	6500
3	0	4350	200	7200	8200	6340	8340	5200	5330
4	0	200	200	5200	6200	4350	6350	4070	4070
L	500	11130	600	15600	15600	15730	15730	12000	10030
Q	500	9760	600	12000	13000	11130	13130	10600	8430
1	500	8230	400	10600	11600	9760	11760	9200	7580
2	500	6430	200	9200	10200	8230	10230	7400	6610
3	500	4400	200	7400	8400	6430	8430	5200	5390
4	500	200	200	5200	6200	4400	6400	4110	4110
L	1000	11430	600	16000	16000	16180	16180	12400	10350
Q	1000	9990	600	12400	13400	11430	13430	10800	8640
1	1000	8380	400	10800	11800	9990	11990	9200	7750
2	1000	6510	200	9200	10200	8380	10380	7400	6710
3	1000	4450	200	7400	8400	6510	8510	5400	5450
4	1000	200	200	5400	6400	4450	6450	4150	4150
L	1500	11740	600	16600	16600	16640	16640	12600	10690
Q	1500	10220	600	12600	13600	11740	13740	11200	8860
1	1500	8530	400	11200	12200	10220	12220	9400	7800
2	1500	6590	200	9400	10400	8530	10530	7400	6810
3	1500	4510	200	7400	8400	6590	8590	5400	5510
4	1500	200	200	5400	6400	4510	6510	4180	4180
L	2000	11740	600	16600	16600	16640	16640	12600	10690
Q	2000	10220	600	12600	13600	11740	13740	11200	8860
1	2000	8530	400	11200	12200	10220	12220	9400	7800
2	2000	6590	200	9400	10400	8530	10530	7400	6810
3	2000	4510	200	7400	8400	6590	8590	5400	5510
4	2000	200	200	5400	6400	4510	6510	4180	4180
L	2500	11740	600	16600	16600	16640	16640	12600	10690
Q	2500	10220	600	12600	13600	11740	13740	11200	8860
1	2500	8530	400	11200	12200	10220	12220	9400	7800
2	2500	6590	200	9400	10400	8530	10530	7400	6810
3	2500	4510	200	7400	8400	6590	8590	5400	5510
4	2500	200	200	5400	6400	4510	6510	4180	4180
L	3000	11740	600	16600	16600	16640	16640	12600	10690
Q	3000	10220	600	12600	13600	11740	13740	11200	8860
1	3000	8530	400	11200	12200	10220	12220	9400	7800
2	3000	6590	200	9400	10400	8530	10530	7400	6810
3	3000	4510	200	7400	8400	6590	8590	5400	5510
4	3000	200	200	5400	6400	4510	6510	4180	4180
