400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,7	0	0	0,7	0
600	3	0	3	0	3	0	3	0	3	0	3	0	3	0	61	0	1,1	0	0	1,1	0
800	6	0	6	0	6	0	6	0	6	0	6	0	6	0	59	0	1,4	0	0	1,5	0
1000	10	0	10	0	10	0	9	0	9	0	9	0	9	0	57	0	1,8	0	0	1,9	0
1200	13	11	13	11	13	11	13	11	13	11	13	11	13	11	55	0	2,1	84	1,3	2,3	0
1400	17	13	17	13	17	13	17	13	17	13	16	13	16	13	53	0	2,5	84	1,5	2,7	0
1600	21	16	21	16	21	16	20	16	20	16	20	15	20	15	51	0	2,9	84	1,7	3,1	0
1800	25	18	25	18	25	18	24	18	24	18	24	18	24	17	50	1	3,3	84	1,9	3,5	0
2000	29	20	29	20	29	20	28	20	28	20	28	20	28	20	48	1	3,7	84	2,2	4	0
2200	34	22	34	22	33	22	32	22	32	22	32	22	32	22	47	1	4,1	84	2,5	4,4	0
2400	39	24	38	24	37	24	37	24	36	24	36	24	36	24	46	1	4,6	84	2,9	4,9	0
2600	43	27	43	27	42	27	41	26	41	26	40	26	40	26	44	1	5	84	3,3	5,4	0
2800	48	29	47	29	46	29	46	29	45	28	45	28	44	28	43	1	5,5	84	3,7	5,9	0
3000	54	32	52	32	51	31	51	31	50	31	49	31	49	30	41	1	5,9	84	4,2	6,4	0
3200	59	35	58	34	57	34	56	34	55	33	54	33	53	33	40	1	6,4	84	4,7	6,9	0
3400	65	37	63	37	62	36	61	36	60	36	59	35	58	35	39	1	6,8	84	5,2	7,4	0
3600	71	40	69	40	67	39	66	39	65	38	64	38	63	37	38	1	7,3	83	5,8	8	0
3800	77	43	75	42	73	42	71	41	70	41	69	40	67	40	36	1	7,8	83	6,4	8,6	0
4000	83	46	81	45	79	44	77	44	75	43	74	43	72	42	35	2	8,3	83	7	9,2	0
4200	89	49	87	48	85	47	83	47	81	46	79	46	78	45	34	2	8,8	83	7,7	9,8	0
4400	96	53	94	51	91	50	89	50	87	49	85	48	83	48	32	2	9,4	83	8,5	10	0
4600	103	56	100	54	98	53	95	53	93	52	91	51	89	50	31	2	9,9	83	9,2	11	0
4800	110	59	107	58	104	57	102	56	99	55	97	54	95	53	30	2	11	83	10	12	0
5000	117	63	114	61	111	60	109	59	106	58	103	57	101	56	29	2	11	83	11	12	0
5200	125	66	122	64	119	63	116	62	113	61	110	60	107	59	29	2	12	83	12	13	0
5400	133	69	130	67	126	66	123	65	119	64	116	63	114	62	28	2	12	83	13	13	0
5600	141	72	138	70	134	69	130	68	126	67	123	66	120	65	27	3	13	82	13	14	0
5800	150	75	148	74	142	73	138	72	134	70	130	69	127	68	26	3	13	82	14	15	0
6000	158	78	154	77	150	76	145	75	141	73	137	72	133	71	26	3	14	82	15	15	0
6200	167	81	163	80	158	79	153	78	149	77	145	76	140	74	25	3	15	82	16	16	0
6400	176	85	172	84	167	83	162	81	157	80	152	79	147	78	25	3	16	82	16	17	0
6600	185	89	180	88	175	86	170	85	165	84	160	82	155	81	24	4	17	82	17	18	0
6800	195	92	189	91	184	90	178	88	173	87	168	86	163	84	24	4	18	82	18	18	0
7000	204	96	199	95	193	94	187	92	181	91	176	89	171	88	23	4	18	82	19	19	0
7200	214	99	208	98	202	97	196	95	190	94	184	93	179	91	23	4	19	82	20	20	0
7400	224	103	218	102	211	101	205	99	199	98	193	96	187	95	22	4	20	81	21	20	0
7600	234	107	228	106	221	104	214	103	208	101	202	100	195	98	22	5	21	81	22	21	0
7800	245	111	238	110	231	108	224	106	217	105	210	103	204	102	21	5	22	80	23	22	0
8000	255	115	248	113	241	112	233	110	226	108	219	107	212	105	21	5	22	80	24	23	0
8200	266	119	259	117	251	115	243	114	236	112	229	110	221	109	20	5	23	80	25	24	0
8400	277	123	269	121	261	119	253	118	245	116	238	114	230	112	20	6	23	80	26	24	0
8600	289	127	280	125	272	123	264	121	255	119	247	118	240	116	19	6	24	79	27	25	0
8800	300	131	292	129	283	127	274	125	265	123	257	121	249	119	19	6	24	79	28	26	0
9000	312	135	303	133	294	131	285	129	276	127	267	125	258	123	19	6	25	79	29	27	0
9200	325	139	315	137	305	135	296	133	286	130	277	128	268	127	18	6	26	79	30	28	0
9400	338	144	327	141	317	139	307	137	297	134	287	132	278	130	18	6	27	79	31	28	0
9600	351	149	340	146	329	143	318	141	308	138	298	136	288	134	18	7	28	78	31	29	0
9800	364	154	352	151	341	148	330	145	319	142	309	140	299	138	17	7	29	78	32	30	0
10000	378	159	365	155	353	152	342	149	331	147	320	144	309	142	17	7	29	78	33	31	0
10200	392	164	379	160	366	157	354	154	343	151	331	148	320	146	17	8	30	78	34	32	0
10400	407	169	393	165	379	162	366	158	354	155	343	152	331	150	16	8	31	77	35	33	0
10600	423	174	408	170	393	167	379	163	366	160	354	157	342	154	16	8	32	77	37	34	0
10800	439	179	423	176	407	172	393	168	379	165	366	161	354	158	15	9	33	76	38	35	0
11000	456	185	439	181	422	177	407	174	392	170	379	166	366	162	15	9	33	76	39	36	0
11200	474	191	455	187	437	183	421	179	405	175	391	171	378	167	14	9	34	76	40	37	0
11400	493	197	472	193	453	188	436	184	419	180	404	176	390	172	13	10	35	75	42	38	0
11600	513	204	490	199	470	194	451	190	434	185	418	181	402	177	12	10	36	75	43	39	0
11800	535	211	510	205	487	200	467	195	449	190	432	186	415	182	11	10	37	74	45	40	0
12000	558	219	531	212	506	206	484	200	464	195	446	191	429	187	11	11	37	74	46	41	0
12200	585	228	553	219	526	212	502	206	481	201	461	197	443	192	11	11	38	73	48	42	0
12400	618	239	578	227	547	219	521	212	498	207	477	202	458	198	11	12	39	72	49	44	0
12600	663	252	607	237	570	227	541	219	516	213	494	208	473	203	10	12	40	71	51	45	0
12800	0	0	644	249	597	236	563	227	535	219	511	213	489	208	8,8	13	41	70	52	47	0
13000	0	0	719	271	628	246	587	235	556	226	529	219	505	213	7,8	13	43	69	54	48	0
13200	0	0	0	0	675	260	615	244	578	234	548	226	522	218	6,5	14	45	67	57	50	0
13400	0	0	0	0	0	0	652	256	603	243	569	233	540	224	4,8	15	47	65	61	52	0
13600	0	0	0	0	0	0	721	277	634	253	592	241	560	231	5	17	49	63	66	55	0
